bivouaquée			bivouaqué	VER	VER	f	s		0.05	0.05	0.05																									
bivouaquées			bivouaqué	VER	VER	f	p		0.05	0.05	0.05																									
bivouaqués			bivouaqué	VER	VER	m	p		0.05	0.05	0.05																									
blablatée			blablaté	VER	VER	f	s		0.05	0.05	0.05																									
blablatées			blablaté	VER	VER	f	p		0.05	0.05	0.05																									
blablatés			blablaté	VER	VER	m	p		0.05	0.05	0.05																									
blackboulées			blackboulé	VER	VER	f	p		0.05	0.05	0.05																									
blaguée			blagué	VER	VER	f	s		0.05	0.05	0.05																									
blaguées			blagué	VER	VER	f	p		0.05	0.05	0.05																									
blairée			blairé	VER	VER	f	s		0.05	0.05	0.05																									
blairées			blairé	VER	VER	f	p		0.05	0.05	0.05																									
blairés			blairé	VER	VER	m	p		0.05	0.05	0.05																									
blasonnée			blasonné	VER	VER	f	s		0.05	0.05	0.05																									
blasonnées			blasonné	VER	VER	f	p		0.05	0.05	0.05																									
blasphémée			blasphémé	VER	VER	f	s		0.05	0.05	0.05																									
blasphémées			blasphémé	VER	VER	f	p		0.05	0.05	0.05																									
bloguée			blogué	VER	VER	f	s		0.05	0.05	0.05																									
bloguées			blogué	VER	VER	f	p		0.05	0.05	0.05																									
blogués			blogué	VER	VER	m	p		0.05	0.05	0.05																									
bluffées			bluffé	VER	VER	f	p		0.05	0.05	0.05																									
blésées			blésé	VER	VER	f	p		0.05	0.05	0.05																									
blésés			blésé	VER	VER	m	p		0.05	0.05	0.05																									
bobinée			bobiné	VER	VER	f	s		0.05	0.05	0.05																									
bobinées			bobiné	VER	VER	f	p		0.05	0.05	0.05																									
bobinés			bobiné	VER	VER	m	p		0.05	0.05	0.05																									
boitillée			boitillé	VER	VER	f	s		0.05	0.05	0.05																									
boitillées			boitillé	VER	VER	f	p		0.05	0.05	0.05																									
boitillés			boitillé	VER	VER	m	p		0.05	0.05	0.05																									
boitée			boité	VER	VER	f	s		0.05	0.05	0.05																									
boitées			boité	VER	VER	f	p		0.05	0.05	0.05																									
boités			boité	VER	VER	m	p		0.05	0.05	0.05																									
bolchevisée			bolchevisé	VER	VER	f	s		0.05	0.05	0.05																									
bolchevisées			bolchevisé	VER	VER	f	p		0.05	0.05	0.05																									
bolchevisés			bolchevisé	VER	VER	m	p		0.05	0.05	0.05																									
boucanée			boucané	VER	VER	f	s		0.05	0.05	0.05																									
boucanées			boucané	VER	VER	f	p		0.05	0.05	0.05																									
bouchonnée			bouchonné	VER	VER	f	s		0.05	0.05	0.05																									
boudés			boudé	VER	VER	m	p		0.05	0.05	0.05																									
bougonnée			bougonné	VER	VER	f	s		0.05	0.05	0.05																									
bougonnées			bougonné	VER	VER	f	p		0.05	0.05	0.05																									
bougonnés			bougonné	VER	VER	m	p		0.05	0.05	0.05																									
bouillonnée			bouillonné	VER	VER	f	s		0.05	0.05	0.05																									
bouillonnées			bouillonné	VER	VER	f	p		0.05	0.05	0.05																									
boulochée			bouloché	VER	VER	f	s		0.05	0.05	0.05																									
boulochées			bouloché	VER	VER	f	p		0.05	0.05	0.05																									
boulochés			bouloché	VER	VER	m	p		0.05	0.05	0.05																									
boulottée			boulotté	VER	VER	f	s		0.05	0.05	0.05																									
boulottées			boulotté	VER	VER	f	p		0.05	0.05	0.05																									
boulottés			boulotté	VER	VER	m	p		0.05	0.05	0.05																									
boulée			boulé	VER	VER	f	s		0.05	0.05	0.05																									
boulées			boulé	VER	VER	f	p		0.05	0.05	0.05																									
boulés			boulé	VER	VER	m	p		0.05	0.05	0.05																									
bouquinée			bouquiné	VER	VER	f	s		0.05	0.05	0.05																									
bouquinées			bouquiné	VER	VER	f	p		0.05	0.05	0.05																									
bouquinés			bouquiné	VER	VER	m	p		0.05	0.05	0.05																									
bourdonnée			bourdonné	VER	VER	f	s		0.05	0.05	0.05																									
bourdonnées			bourdonné	VER	VER	f	p		0.05	0.05	0.05																									
bourdonnés			bourdonné	VER	VER	m	p		0.05	0.05	0.05																									
bourgeonnées			bourgeonné	VER	VER	f	p		0.05	0.05	0.05																									
bourgeonnés			bourgeonné	VER	VER	m	p		0.05	0.05	0.05																									
bourlinguée			bourlingué	VER	VER	f	s		0.05	0.05	0.05																									
bourlinguées			bourlingué	VER	VER	f	p		0.05	0.05	0.05																									
bourlingués			bourlingué	VER	VER	m	p		0.05	0.05	0.05																									
boursicotée			boursicoté	VER	VER	f	s		0.05	0.05	0.05																									
boursicotées			boursicoté	VER	VER	f	p		0.05	0.05	0.05																									
boursicotés			boursicoté	VER	VER	m	p		0.05	0.05	0.05																									
boursoufflées			boursoufflé	VER	VER	f	p		0.05	0.05	0.05																									
boursoufflés			boursoufflé	VER	VER	m	p		0.05	0.05	0.05																									
boutée			bouté	VER	VER	f	s		0.05	0.05	0.05																									
boutées			bouté	VER	VER	f	p		0.05	0.05	0.05																									
bouzillées			bouzillé	VER	VER	f	p		0.05	0.05	0.05																									
